pnID1,siID1,mnID1,nam1,etime1,status,DQ11t1,DQ12t1,DQ1A,DQ2,DQ31,DQ32,DQ33,DQ34,DQ3A1n1,DQ4A1,DQ4A2,DQ4A3,DQ4B,DQ51n1,DQ6,DQ70c1,DQ70c2,DQ70c3,DQ7A,DQ8,DQ91t1,DQ92n1,DQ10,DQ10n1,DQ11A,DQ11An1,DQ11An2,DQ12,DQ13,DQ141n1,DQ142n1,DQ142n2,DQ143n1,DQ143n2,DQ143n3,DQ144n1,DQ144n2,DQ144n3,DQ151t1,DQ152n1,DQ152n2,DQ152n3,DQ153n1,DQ153n2,DQ153n3,Q01,Q0211,Q0212,Q0221,Q0222,Q0231,Q0232,Q0311,Q0312,Q0313,Q0314,Q0321,Q0322,Q0323,Q0324,Q0319,Q0329,Q041,Q042,Q043,Q04t8,Q0511,Q0512,Q0513,Q0521,Q0522,Q0523,Q0519,Q06,Q071,Q072,Q073,Q074,Q0811,Q0812,Q0813,Q0821,Q0822,Q0823,Q08A1,Q08A2,Q08A3,Q08A4,Q08At4,Q0911,Q0912,Q0913,Q0914,Q09t4,Q0915,Q101n1,Q1111,Q1112,Q1113,Q1119,Q12,Q1311,Q1312,Q141,Q142,Q143,Q14t11,Q15,Q15A,Q15B1,Q15B2,Q15B3,Q15B4,Q15B5,Q15Bt5,Q161,Q162,Q16t9,Q17,Q18,Q18A,Q18At5,Q18B,Q18Bt6,Q19,Q19t5,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q20At5,Q20AA,Q20AAt3
,000057,999999,서형주,2022-09-08 오전 11:20:00,201,,토즈타워,1141,1,,서울 강남구 강남대로 84길 24-4,,,5,1,,,1,1,1,2,251,CS200051,2,2,강남역,251,2,,2,,1,,1,53,2011,7,6,21,,2,,,정윤주,,,,10,2510,8304,2,694.2,,,,,,35000,35000,35000,,2750,2750,2750,,,,,,,,,,,,,,,,1,1,1,1,,25000,,,,,,2,3,,,100,0,0,0,,,5,2000,2000,5000,Y,코로나,500,0.05,1,8,6,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000063,999999,서형주,2022-09-08 오전 11:20:00,201,,repair shop,1141,1,,서울 강남구 테헤란로 4길 46,,,15,1,,,1,136,2,2,254,CS200054,2,1,강남역,194,2,,1,1,,,1,65,2014,7,10,20,8,,,,정헌석,,,,10,5034,5420,3,31.41,,,,,,2000,2000,2000,2000,190,190,190,190,,,,,,,25,25,25,,,,,,1,2,2,2,,2000,,,,,1,,,,,100,0,0,0,,,2,500,500,600,Y,코로나,,,1,7,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000084,999999,서형주,2022-09-08 오전 11:20:00,201,,달봉비어,1229,2,,서울 마포구 어울마당로 5길 7,,,5,1,,,1,1,1,1,109,CS100009,1,1,상수역,389,2,,1,1,,,1,40,2014,7,14,22,,,,,강은구,2,324,6322,,,,2,99.17,,,,,,8000,8000,8000,8000,410,410,410,410,,,,,,,30,30,30,150,150,150,,,1,1,1,1,,,1000,,,,1,2,3,,,,,,,,,2,1300,1300,1700,Y,코로나,450,0.17,8,1,6,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000111,999999,서형주,2022-09-08 오전 11:20:00,201,,야주,1255,2,,서울 용산구 이태원로 26길 15,,,2,1,,,1,,1,1,109,CS100009,1,2,이태원역,132,2,,1,1,,,1,42,2016,10,17,5,,,,,김내곤,,,,10,3253,879,3,,,,,,,3000,3000,3000,3000,200,200,200,200,,,,,,,,,,,,,,,1,1,1,1,,3500,300,,,,,,3,,,100,0,0,0,,,,100,100,1000,Y,코로나,-300,,1,8,9,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,
,000113,999999,서형주,2022-09-08 오전 11:20:00,201,,The crumpet house,1255,2,,서울 용산구 보광로 59길 51,,,1,1,,,1,,1,1,110,CS100010,1,1,이태원역,277,2,,1,1,,,1,32,2018,7,9,19,4,,,,김수현,,,,10,4469,9192,3,,,,,,,1000,1000,,,70,70,,,,,1,4,5,,,,,,,,,,1,1,2,1,,1000,1000,,,,,,3,,,,,,,,,,,,,,,,,9,7,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000130,999999,서형주,2022-09-08 오전 11:20:00,201,,도깨비파리하우스,1229,2,,서울 마포구 와우산로 17길 22,,,4,1,,,1,1,1,3,305,CS300005,3,2,상수역,358,2,,2,,1,,1,36,2018,7,14,22,,1,,,오동훈,,,,10,6628,8433,3,92.46,,,,,,10000,10000,10000,10000,550,550,550,550,,,,,,,20,20,20,,,,,,1,2,2,2,,2000,20000,,,,1,,,,,100,0,0,0,,,,1000,1000,2000,Y,코로나,1000,0.2,8,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000143,999999,서형주,2022-09-08 오전 11:20:00,201,,삼촌네 포차,1511,2,,서울 송파구 동남로 4길 30-1,,,4,1,,,1,,1,1,109,CS100009,1,2,문정,,1,1,1,2,,,1,,2018,7,12,3,,1,,,곽동원,,,,10,7158,4606,3,,,,,,,3000,3000,3000,3000,230,230,230,230,,,,,,,,,,15,15,5,,임대료 올리기가 어려워서,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000146,999999,서형주,2022-09-08 오전 11:20:00,201,,송파전자담배,1511,1,,서울 송파구 동남로 119,,,4,1,,,1,,1,3,344,CS300044,3,1,문정,700,1,6,1,6,,,2,,2019,7,10,20,,,,1,정진아,,,,10,7793,82,2,,,,,,,2000,2000,2000,,200,200,200,,,,,,,,,,,6,6,6,,,1,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,1,7,9,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,
,000172,999999,서형주,2022-09-08 오전 11:20:00,201,,청맥 호프 방배본점,1271,2,,서울 서초구 방배천로 8,,,5,1,,,1,,1,1,109,CS100009,1,1,사당,187,1,,2,,2,,1,72,1984,3,11,10,,2,,,배남진,,,,10,2870,5863,3,,,,,,,10000,10000,10000,10000,1500,1500,1500,1500,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,100,0,0,0,,,2,600,600,600,N,,,0.1,,1,4,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,
,000174,999999,서형주,2022-09-08 오전 11:20:00,201,,명동 할머니국수 방배점,1271,1,,서울 서초구 방배천로 2길 15,,오륜빌딩,6,1,,,1,,3,1,101,CS100001,1,2,사당,345,2,,2,,2,,1,64,2013,5,9,12,,1,,,황보순,2,586,8002,,,,2,,,,,,,3000,3000,3000,3000,200,200,200,220,,,1,2,5,,,,,15,15,15,,,1,1,2,1,,8000,2000,,,,1,,,,,56,44,0,0,,,2,300,300,300,N,,,0.15,8,1,2,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
